"","INSTNM","TUITIONFEE_IN","TUITIONFEE_OUT","value_added","popularity","diversity"
"1","Alabama A & M University","9096","16596",1.15765759758044,8002.28310502283,0.0186479382294428
"2","University of Alabama at Birmingham","7510","17062",1.00604784939848,13283.93044696,0.0202930031592487
"3","University of Alabama in Huntsville","9158","21232",1.0678875185037,6645.1298305498,0.0427847305969976
"4","Alabama State University","8720","15656",0.94768078123852,9033.04543747653,0.0193014586278958
"5","The University of Alabama","9826","24950",0.560428018774716,58474.0450538688,0.397461479903382
"6","Auburn University at Montgomery","9080","19640",1.23653649816126,5368.59174254709,0.0929873941734239
"7","Auburn University","10200","27384",0.579070950872053,24576.4945489397,0.107171025171503
"8","Birmingham Southern College","31708","31708",0.430600439098205,2210.15171380408,0.0204822079056596
"9","Concordia College Alabama","10320","10320",NA,604.354354354354,0.0216432296208598
"10","Herzing University-Birmingham","12790","12790",1.6533425170999,302,0.0600946359826146
"11","Huntingdon College","24550","24550",0.787593998135437,1967.8027059428,0.361121429569464
"12","Heritage Christian University","9792","9792",NA,62,0.0092823557813212
"13","Jacksonville State University","7092","13884",0.832385894556818,8479.46192649532,0.297834474113502
"14","Judson College","16258","16258",1.47638841102245,576.245210727969,0.20121451539276
"15","University of West Alabama","8018","14886",1.23093515582104,2661.48076121684,0.114833057165749
"16","Marion Military Institute","8778","14778",0.580088070904552,705.326600423522,0.0399903511902287
"17","University of Mobile","19475","19475",0.821666199743543,2497.00701214298,0.292501832666823
"18","University of Montevallo","10660","21220",0.721412854497242,3558.5464333782,0.284982351112949
"19","University of North Alabama","7412","13268",0.805980350151715,8080.43606364172,0.514369657445962
"20","Oakwood University","16720","16720",0.67066862272773,3923.12513056194,0.0227115686734954
"21","Samford University","27324","27324",0.500365534214447,5094.05441719852,0.294836428073816
"22","University of South Alabama","7188","14076",0.929678684479548,13517.6964607079,0.0505004056022155
"23","Spring Hill College","32468","32468",0.667342096898642,2346.91906509562,0.311852974147289
"24","Southeastern Bible College","11370","11370",0.828318052080023,170,0.155252526763375
